lr,delta,beta,lr_diff,factor_vae_eval_accuracy
0.01,0.1,1e-06,50,0.9391
0.01,0.1,1e-06,500,0.96905
0.01,0.1,1e-05,50,0.9793
0.01,0.1,1e-05,500,0.9506
0.01,0.5,1e-06,50,0.99865
0.01,0.5,1e-06,500,0.9354
0.01,0.5,1e-05,50,0.97135
0.01,0.5,1e-05,500,0.99515
0.01,1.0,1e-06,50,0.99135
0.01,1.0,1e-06,500,0.988
0.01,1.0,1e-05,50,0.9754
0.01,1.0,1e-05,500,0.99815
0.01,5.0,1e-06,50,0.7761
0.01,5.0,1e-06,500,0.48385
0.01,5.0,1e-05,50,0.99635
0.01,5.0,1e-05,500,0.9943
0.001,0.1,1e-06,50,0.99575
0.001,0.1,1e-06,500,0.8797
0.001,0.1,1e-05,50,0.985
0.001,0.1,1e-05,500,0.97995
0.001,0.5,1e-06,50,0.9696
0.001,0.5,1e-06,500,0.95705
0.001,0.5,1e-05,50,0.73305
0.001,0.5,1e-05,500,0.9909
0.001,1.0,1e-06,50,0.8883
0.001,1.0,1e-06,500,0.90665
0.001,1.0,1e-05,50,0.67585
0.001,1.0,1e-05,500,0.98735
0.001,5.0,1e-06,50,0.7759
0.001,5.0,1e-06,500,0.96685
0.001,5.0,1e-05,50,0.7092
0.001,5.0,1e-05,500,0.9458
0.0001,0.1,1e-06,50,0.95425
0.0001,0.1,1e-06,500,0.8046
0.0001,0.1,1e-05,50,0.82055
0.0001,0.1,1e-05,500,0.80045
0.0001,0.5,1e-06,50,0.72675
0.0001,0.5,1e-06,500,0.8498
0.0001,0.5,1e-05,50,0.783
0.0001,0.5,1e-05,500,0.78535
0.0001,1.0,1e-06,50,0.81645
0.0001,1.0,1e-06,500,0.94205
0.0001,1.0,1e-05,50,0.7912
0.0001,1.0,1e-05,500,0.87365
0.0001,5.0,1e-06,50,0.7159
0.0001,5.0,1e-06,500,0.59715
0.0001,5.0,1e-05,50,0.77095
0.0001,5.0,1e-05,500,0.7554
